employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,performance_score
77460,Sales & Marketing,region_2,Bachelors,Female,sourcing,1 ,35 ,3 ,3 ,1 ,0 ,52 ,11 
67317,Technology,region_22,Masters,Male,other,4 ,40 ,3 ,12 ,0 ,0 ,77 ,15 
68788,Technology,region_23,Bachelors,Male,sourcing,2 ,33 ,4 ,9 ,0 ,0 ,83 ,17 
36834,Sales & Marketing,region_8,Masters,Male,other,1 ,30 ,3 ,2 ,1 ,0 ,55 ,12 
64281,Sales & Marketing,region_14,Bachelors,Female,sourcing,2 ,42 ,1 ,3 ,1 ,0 ,46 ,10 
1822,Sales & Marketing,region_22,Bachelors,Male,sourcing,3 ,29 ,1 ,3 ,0 ,0 ,51 ,10 
55325,Analytics,region_22,Bachelors,Male,other,1 ,25 ,,1 ,0 ,0 ,88 ,18 
41432,Analytics,region_26,Bachelors,Male,sourcing,1 ,26 ,5 ,4 ,1 ,0 ,90 ,19 
52061,Sales & Marketing,region_31,Bachelors,Male,other,1 ,27 ,2 ,3 ,0 ,0 ,52 ,10 
39973,Operations,region_13,Bachelors,Male,other,1 ,34 ,5 ,5 ,1 ,0 ,66 ,14 
42524,Sales & Marketing,region_31,Bachelors,Male,sourcing,1 ,26 ,4 ,5 ,0 ,0 ,45 ,9 
7935,Technology,region_2,Bachelors,Female,other,1 ,52 ,5 ,18 ,0 ,0 ,80 ,16 
49940,Sales & Marketing,region_7,Bachelors,Male,other,1 ,26 ,5 ,2 ,1 ,0 ,54 ,11 
10059,Analytics,region_34,Bachelors,Male,sourcing,3 ,27 ,3 ,2 ,0 ,0 ,83 ,17 
44159,Analytics,region_22,Masters,Male,other,1 ,31 ,,1 ,1 ,0 ,84 ,17 
76691,Operations,region_23,Bachelors,Male,other,1 ,33 ,4 ,8 ,1 ,0 ,59 ,12 
3720,Sales & Marketing,region_2,NIL,Male,sourcing,1 ,36 ,5 ,4 ,1 ,0 ,49 ,10 
5621,Technology,region_2,Masters,Female,other,1 ,57 ,1 ,26 ,0 ,0 ,76 ,15 
24147,Sales & Marketing,region_2,Bachelors,Male,other,2 ,46 ,1 ,7 ,0 ,0 ,49 ,10 
33997,Sales & Marketing,region_19,Bachelors,Male,sourcing,1 ,30 ,2 ,3 ,0 ,0 ,50 ,10 
64076,Operations,region_2,Below Secondary,Male,other,1 ,21 ,,1 ,1 ,0 ,56 ,12 
21379,Technology,region_4,Bachelors,Male,sourcing,1 ,26 ,,1 ,1 ,0 ,85 ,18 
23714,Technology,region_7,Masters,Male,sourcing,2 ,40 ,3 ,6 ,0 ,0 ,81 ,16 
19866,Technology,region_23,Bachelors,Male,other,2 ,32 ,3 ,6 ,0 ,0 ,79 ,16 
4529,Finance,region_22,Masters,Female,sourcing,1 ,36 ,3 ,2 ,1 ,0 ,61 ,13 
64703,Legal,region_2,Bachelors,Male,other,1 ,28 ,2 ,2 ,0 ,0 ,62 ,12 
19649,Operations,region_22,Bachelors,Female,sourcing,1 ,29 ,5 ,4 ,1 ,0 ,56 ,12 
6596,Sales & Marketing,region_2,Masters,Male,sourcing,1 ,38 ,4 ,4 ,0 ,0 ,49 ,10 
7999,Technology,region_4,Bachelors,Male,other,1 ,31 ,2 ,4 ,1 ,0 ,78 ,16 
4762,Sales & Marketing,region_22,Bachelors,Male,other,1 ,29 ,1 ,4 ,0 ,0 ,46 ,9 
5387,Technology,region_5,Below Secondary,Male,other,1 ,23 ,,1 ,0 ,0 ,81 ,16 
24620,Operations,region_26,Bachelors,Male,sourcing,1 ,41 ,4 ,6 ,1 ,0 ,60 ,13 
57989,Procurement,region_2,Bachelors,Male,other,1 ,29 ,5 ,2 ,1 ,0 ,74 ,15 
75619,Sales & Marketing,region_28,Bachelors,Female,other,1 ,29 ,2 ,5 ,0 ,0 ,51 ,10 
26977,Operations,region_2,NIL,Male,sourcing,1 ,28 ,3 ,3 ,0 ,0 ,59 ,12 
65975,Analytics,region_29,Bachelors,Male,other,2 ,28 ,5 ,4 ,1 ,0 ,84 ,17 
51302,Procurement,region_22,Bachelors,Female,sourcing,1 ,31 ,1 ,6 ,0 ,0 ,64 ,13 
63714,Technology,region_4,Masters,Male,sourcing,1 ,36 ,3 ,4 ,0 ,0 ,76 ,15 
70556,Operations,region_2,Bachelors,Male,other,3 ,26 ,3 ,4 ,1 ,0 ,57 ,12 
70117,Technology,region_15,Bachelors,Male,other,1 ,29 ,3 ,2 ,0 ,0 ,84 ,17 
51972,Analytics,region_7,Bachelors,Male,sourcing,1 ,32 ,4 ,6 ,0 ,0 ,85 ,17 
60572,Sales & Marketing,region_2,Bachelors,Female,other,1 ,40 ,1 ,10 ,0 ,0 ,50 ,10 
9548,Analytics,region_22,Bachelors,Male,sourcing,2 ,38 ,4 ,13 ,0 ,0 ,87 ,17 
64,Analytics,region_4,Bachelors,Male,other,1 ,42 ,5 ,11 ,1 ,0 ,80 ,17 
35510,Procurement,region_29,Masters,Female,other,1 ,33 ,3 ,6 ,0 ,0 ,68 ,14 
10732,Analytics,region_2,Bachelors,Male,other,1 ,31 ,5 ,5 ,1 ,0 ,92 ,19 
9214,Operations,region_3,Masters,Female,sourcing,1 ,35 ,3 ,4 ,0 ,0 ,58 ,12 
10761,HR,region_2,Masters,Female,sourcing,1 ,58 ,5 ,6 ,1 ,0 ,51 ,11 
32110,Sales & Marketing,region_28,Bachelors,Female,sourcing,1 ,26 ,2 ,4 ,0 ,0 ,48 ,10 
50038,HR,region_29,Bachelors,Female,sourcing,1 ,33 ,3 ,8 ,1 ,0 ,49 ,10 
1555,Technology,region_7,Bachelors,Male,sourcing,1 ,30 ,3 ,3 ,1 ,0 ,80 ,17 
21200,Technology,region_13,Masters,Female,sourcing,1 ,43 ,3 ,12 ,0 ,0 ,79 ,16 
50380,HR,region_17,Bachelors,Female,sourcing,1 ,31 ,4 ,7 ,0 ,0 ,48 ,10 
45009,Analytics,region_29,Bachelors,Male,sourcing,1 ,32 ,3 ,5 ,1 ,0 ,86 ,18 
65450,Technology,region_2,Masters,Female,sourcing,2 ,57 ,2 ,7 ,0 ,0 ,83 ,17 
77333,Operations,region_2,Bachelors,Female,other,1 ,54 ,4 ,22 ,0 ,0 ,57 ,11 
2347,Analytics,region_15,NIL,Male,other,2 ,37 ,5 ,8 ,1 ,0 ,82 ,17 
8443,R&D,region_22,Masters,Male,other,2 ,27 ,4 ,5 ,0 ,0 ,86 ,17 
39490,Operations,region_22,Masters,Male,sourcing,1 ,44 ,3 ,10 ,0 ,0 ,55 ,11 
69077,Technology,region_24,Masters,Female,other,1 ,37 ,3 ,10 ,0 ,0 ,81 ,16 
64652,Procurement,region_7,Masters,Male,other,1 ,48 ,4 ,8 ,0 ,0 ,72 ,14 
5254,Sales & Marketing,region_25,Bachelors,Female,other,1 ,31 ,3 ,6 ,1 ,0 ,43 ,9 
71131,Finance,region_22,Bachelors,Female,other,1 ,28 ,5 ,5 ,1 ,0 ,60 ,13 
19620,Procurement,region_13,Masters,Female,other,1 ,34 ,3 ,4 ,0 ,0 ,69 ,14 
41266,Sales & Marketing,region_14,Bachelors,Female,sourcing,1 ,44 ,1 ,4 ,0 ,0 ,47 ,9 
11001,Sales & Marketing,region_12,Bachelors,Male,sourcing,1 ,27 ,5 ,2 ,0 ,0 ,50 ,10 
28530,Operations,region_22,Masters,Male,referred,1 ,45 ,3 ,4 ,1 ,0 ,57 ,12 
72481,Sales & Marketing,region_13,Bachelors,Male,sourcing,1 ,24 ,4 ,2 ,0 ,0 ,48 ,10 
67417,Analytics,region_29,Bachelors,Male,other,1 ,37 ,5 ,4 ,0 ,0 ,82 ,16 
51840,Analytics,region_22,Masters,Male,other,1 ,27 ,,1 ,1 ,0 ,86 ,18 
43223,Legal,region_22,Bachelors,Male,other,1 ,33 ,,1 ,1 ,0 ,59 ,12 
40287,Sales & Marketing,region_2,Masters,Female,other,1 ,31 ,1 ,2 ,1 ,0 ,53 ,11 
29367,Sales & Marketing,region_7,Masters,Male,sourcing,3 ,38 ,3 ,5 ,0 ,0 ,49 ,10 
36352,Procurement,region_22,Bachelors,Male,other,1 ,32 ,5 ,2 ,1 ,0 ,72 ,15 
29681,Analytics,region_19,Bachelors,Male,other,1 ,29 ,3 ,4 ,0 ,0 ,84 ,17 
30233,Sales & Marketing,region_15,Bachelors,Male,other,1 ,37 ,4 ,9 ,0 ,0 ,50 ,10 
66601,Operations,region_13,Bachelors,Male,other,2 ,42 ,3 ,12 ,0 ,0 ,60 ,12 
40276,R&D,region_22,Masters,Male,sourcing,2 ,32 ,5 ,5 ,1 ,0 ,88 ,18 
1522,Operations,region_13,Bachelors,Male,other,1 ,45 ,3 ,3 ,0 ,0 ,60 ,12 
17936,Analytics,region_29,Bachelors,Male,other,1 ,28 ,3 ,7 ,0 ,0 ,83 ,17 
26270,Technology,region_15,Masters,Male,sourcing,1 ,35 ,1 ,9 ,0 ,0 ,81 ,16 
6837,Sales & Marketing,region_4,Bachelors,Male,other,3 ,28 ,3 ,5 ,0 ,0 ,48 ,10 
49665,Operations,region_8,Bachelors,Female,other,1 ,37 ,1 ,3 ,1 ,0 ,59 ,12 
1908,Analytics,region_4,Masters,Male,other,1 ,38 ,4 ,7 ,1 ,0 ,88 ,18 
6474,Procurement,region_2,Bachelors,Female,sourcing,1 ,31 ,1 ,6 ,0 ,0 ,68 ,14 
27495,Operations,region_2,Masters,Male,other,2 ,43 ,3 ,2 ,0 ,0 ,69 ,14 
24324,Operations,region_23,Bachelors,Male,other,1 ,32 ,3 ,2 ,1 ,0 ,62 ,13 
14299,Procurement,region_2,Below Secondary,Male,sourcing,1 ,24 ,4 ,2 ,1 ,0 ,69 ,14 
56246,Operations,region_2,Masters,Male,other,1 ,52 ,5 ,8 ,0 ,0 ,59 ,12 
3901,Technology,region_13,Masters,Male,other,1 ,38 ,5 ,2 ,0 ,0 ,88 ,18 
41566,Finance,region_20,Bachelors,Male,other,1 ,35 ,3 ,4 ,0 ,0 ,59 ,12 
55735,Technology,region_31,Masters,Male,other,1 ,39 ,5 ,4 ,0 ,1 ,81 ,17 
53627,Procurement,region_7,Bachelors,Male,other,1 ,31 ,3 ,5 ,1 ,0 ,65 ,14 
62683,Operations,region_27,Bachelors,Male,sourcing,1 ,37 ,3 ,5 ,0 ,0 ,57 ,11 
42719,Analytics,region_21,NIL,Male,sourcing,1 ,27 ,,1 ,0 ,0 ,80 ,16 
44948,Operations,region_30,Masters,Female,other,1 ,37 ,5 ,9 ,1 ,0 ,56 ,12 
26037,Analytics,region_16,Bachelors,Male,other,2 ,31 ,3 ,5 ,1 ,0 ,81 ,17 
30607,Analytics,region_22,Bachelors,Male,sourcing,1 ,28 ,5 ,4 ,1 ,0 ,85 ,18 
46103,Technology,region_15,Bachelors,Male,other,1 ,26 ,3 ,3 ,0 ,0 ,77 ,15 
6452,Finance,region_2,Masters,Male,other,1 ,49 ,4 ,7 ,1 ,0 ,62 ,13 
47286,Procurement,region_13,Bachelors,Female,other,1 ,34 ,3 ,9 ,0 ,0 ,68 ,14 
44117,Finance,region_4,Masters,Female,other,1 ,38 ,3 ,2 ,0 ,0 ,58 ,12 
1367,Sales & Marketing,region_13,Masters,Male,other,1 ,52 ,4 ,4 ,1 ,0 ,51 ,11 
26228,Sales & Marketing,region_22,Bachelors,Male,sourcing,3 ,31 ,1 ,7 ,1 ,0 ,50 ,11 
65694,Technology,region_2,Bachelors,Female,other,1 ,24 ,1 ,2 ,0 ,0 ,82 ,16 
2721,Analytics,region_22,NIL,Female,sourcing,2 ,26 ,5 ,3 ,1 ,0 ,86 ,18 
63901,HR,region_7,Bachelors,Male,other,1 ,31 ,2 ,5 ,0 ,0 ,66 ,13 
4701,Technology,region_26,Bachelors,Female,other,1 ,43 ,1 ,4 ,1 ,0 ,86 ,18 
35341,Procurement,region_4,Masters,Male,other,4 ,37 ,3 ,6 ,0 ,0 ,68 ,14 
3203,Sales & Marketing,region_2,NIL,Male,sourcing,1 ,37 ,4 ,4 ,0 ,0 ,50 ,10 
10361,HR,region_2,Masters,Male,other,1 ,37 ,5 ,9 ,1 ,0 ,53 ,11 
6572,Operations,region_29,Bachelors,Male,other,1 ,32 ,5 ,8 ,1 ,0 ,58 ,12 
70408,Sales & Marketing,region_26,Bachelors,Female,other,1 ,30 ,4 ,2 ,0 ,0 ,53 ,11 
11774,Procurement,region_20,Bachelors,Female,other,1 ,30 ,5 ,4 ,1 ,0 ,71 ,15 
37873,Sales & Marketing,region_7,Bachelors,Male,sourcing,1 ,27 ,4 ,3 ,0 ,0 ,50 ,10 
3886,Sales & Marketing,region_2,Bachelors,Male,other,2 ,36 ,4 ,8 ,0 ,0 ,45 ,9 
23347,Technology,region_9,Bachelors,Male,sourcing,4 ,30 ,3 ,2 ,0 ,0 ,78 ,16 
3034,Procurement,region_2,Masters,Male,sourcing,1 ,49 ,4 ,19 ,0 ,0 ,73 ,15 
30137,Sales & Marketing,region_10,Masters,Male,other,1 ,38 ,5 ,5 ,0 ,0 ,63 ,13 
52431,Sales & Marketing,region_30,Bachelors,Male,other,1 ,29 ,3 ,6 ,0 ,0 ,51 ,10 
11061,Technology,region_33,Bachelors,Male,other,1 ,48 ,3 ,6 ,1 ,0 ,81 ,17 
9706,Sales & Marketing,region_21,Bachelors,Male,other,1 ,29 ,,1 ,0 ,0 ,53 ,11 
17607,Analytics,region_2,Masters,Male,other,1 ,59 ,4 ,13 ,0 ,0 ,82 ,16 
64986,Operations,region_7,Bachelors,Female,other,1 ,36 ,5 ,5 ,1 ,0 ,62 ,13 
8082,Finance,region_13,Bachelors,Male,other,1 ,28 ,3 ,3 ,0 ,0 ,59 ,12 
20982,Procurement,region_22,Bachelors,Male,other,2 ,27 ,4 ,2 ,1 ,0 ,68 ,14 
5794,Operations,region_2,Bachelors,Male,sourcing,1 ,25 ,3 ,2 ,0 ,0 ,62 ,12 
69381,Sales & Marketing,region_26,Bachelors,Male,other,1 ,30 ,5 ,6 ,1 ,0 ,52 ,11 
50176,HR,region_27,Below Secondary,Male,other,1 ,23 ,,1 ,0 ,0 ,51 ,10 
1612,HR,region_15,Bachelors,Female,sourcing,1 ,28 ,,1 ,0 ,0 ,50 ,10 
48923,Sales & Marketing,region_2,Bachelors,Male,other,1 ,38 ,4 ,5 ,1 ,0 ,48 ,10 
50366,Sales & Marketing,region_22,Bachelors,Male,sourcing,1 ,30 ,,1 ,1 ,0 ,45 ,10 
48813,HR,region_2,Bachelors,Female,other,1 ,53 ,4 ,21 ,0 ,0 ,53 ,11 
5574,Sales & Marketing,region_8,Masters,Male,other,1 ,35 ,3 ,8 ,0 ,0 ,45 ,9 
57601,HR,region_2,Bachelors,Male,other,1 ,45 ,3 ,14 ,1 ,0 ,53 ,11 
26788,Sales & Marketing,region_26,NIL,Male,sourcing,1 ,40 ,1 ,8 ,0 ,0 ,51 ,10 
564,Operations,region_32,Bachelors,Male,other,1 ,39 ,3 ,8 ,0 ,0 ,58 ,12 
3864,Analytics,region_13,Bachelors,Male,other,1 ,46 ,4 ,6 ,0 ,0 ,82 ,16 
19598,Technology,region_5,Bachelors,Male,sourcing,2 ,29 ,3 ,3 ,0 ,0 ,79 ,16 
19513,Analytics,region_6,Bachelors,Male,other,1 ,28 ,,1 ,1 ,0 ,84 ,17 
74965,Technology,region_15,Bachelors,Female,other,1 ,34 ,4 ,6 ,1 ,0 ,82 ,17 
42353,Sales & Marketing,region_9,Bachelors,Male,other,1 ,23 ,,1 ,1 ,0 ,47 ,10 
13367,Sales & Marketing,region_14,Bachelors,Male,other,1 ,38 ,5 ,3 ,0 ,0 ,51 ,10 
38556,HR,region_22,Masters,Male,sourcing,1 ,32 ,3 ,5 ,0 ,0 ,52 ,10 
51344,Operations,region_26,Bachelors,Male,other,1 ,33 ,3 ,5 ,1 ,0 ,58 ,12 
28320,Procurement,region_2,Bachelors,Female,other,1 ,39 ,4 ,9 ,0 ,0 ,70 ,14 
56104,Procurement,region_4,Masters,Male,other,4 ,36 ,3 ,6 ,0 ,0 ,71 ,14 
68882,Operations,region_22,Bachelors,Male,sourcing,2 ,33 ,4 ,4 ,0 ,0 ,59 ,12 
75800,Sales & Marketing,region_2,Bachelors,Female,other,1 ,29 ,4 ,6 ,1 ,0 ,45 ,10 
13223,R&D,region_7,Bachelors,Female,other,1 ,32 ,3 ,5 ,0 ,0 ,85 ,17 
62740,Sales & Marketing,region_28,Bachelors,Female,sourcing,1 ,26 ,3 ,2 ,1 ,0 ,46 ,10 
67233,Analytics,region_32,Bachelors,Male,sourcing,1 ,38 ,3 ,3 ,0 ,0 ,82 ,16 
49207,Procurement,region_22,Masters,Male,sourcing,1 ,42 ,2 ,15 ,0 ,0 ,70 ,14 
19053,Operations,region_32,Bachelors,Female,sourcing,1 ,30 ,5 ,6 ,0 ,0 ,60 ,12 
38096,Analytics,region_22,Bachelors,Male,sourcing,2 ,28 ,,1 ,0 ,0 ,83 ,17 
46519,Sales & Marketing,region_14,Bachelors,Male,other,1 ,36 ,4 ,6 ,0 ,0 ,47 ,9 
2111,Procurement,region_2,Bachelors,Female,other,1 ,56 ,5 ,6 ,0 ,0 ,84 ,17 
69413,Sales & Marketing,region_14,Bachelors,Female,other,1 ,30 ,3 ,5 ,0 ,0 ,51 ,10 
53827,Sales & Marketing,region_15,Bachelors,Male,other,2 ,25 ,,1 ,0 ,0 ,50 ,10 
40064,HR,region_7,Bachelors,Female,other,1 ,29 ,5 ,6 ,1 ,0 ,49 ,10 
33502,Sales & Marketing,region_7,Bachelors,Male,other,1 ,36 ,2 ,7 ,0 ,0 ,47 ,9 
15182,Technology,region_14,Bachelors,Female,other,1 ,39 ,3 ,4 ,0 ,0 ,80 ,16 
13593,Analytics,region_26,Bachelors,Male,sourcing,1 ,30 ,5 ,4 ,1 ,0 ,84 ,17 
15613,R&D,region_2,Bachelors,Male,other,2 ,42 ,3 ,9 ,0 ,0 ,84 ,17 
75751,Sales & Marketing,region_26,Bachelors,Male,sourcing,2 ,37 ,4 ,9 ,0 ,0 ,49 ,10 
71625,Procurement,region_22,Bachelors,Male,sourcing,1 ,31 ,2 ,2 ,1 ,0 ,66 ,14 
37763,Sales & Marketing,region_28,Masters,Male,sourcing,1 ,32 ,4 ,6 ,1 ,0 ,48 ,10 
10812,Operations,region_15,Masters,Male,other,1 ,40 ,5 ,11 ,1 ,0 ,59 ,12 
67357,Finance,region_2,Bachelors,Male,sourcing,2 ,39 ,5 ,10 ,1 ,0 ,58 ,12 
49583,Sales & Marketing,region_26,Bachelors,Male,other,1 ,40 ,4 ,10 ,1 ,0 ,47 ,10 
45428,HR,region_22,Bachelors,Male,sourcing,1 ,23 ,1 ,2 ,0 ,0 ,45 ,9 
9978,Operations,region_2,Bachelors,Male,sourcing,2 ,28 ,,1 ,0 ,0 ,60 ,12 
44266,Sales & Marketing,region_7,Bachelors,Male,other,1 ,37 ,2 ,4 ,0 ,0 ,51 ,10 
47252,Finance,region_2,Below Secondary,Male,sourcing,1 ,23 ,,1 ,1 ,0 ,58 ,12 
57884,Operations,region_2,Bachelors,Male,sourcing,1 ,37 ,3 ,9 ,0 ,0 ,61 ,12 
24334,Legal,region_22,Bachelors,Male,referred,1 ,29 ,5 ,3 ,1 ,0 ,54 ,11 
58892,Operations,region_32,Bachelors,Female,other,1 ,38 ,4 ,10 ,0 ,0 ,55 ,11 
40799,Operations,region_22,Bachelors,Male,other,2 ,39 ,4 ,10 ,0 ,0 ,57 ,11 
33879,Sales & Marketing,region_22,Masters,Male,other,2 ,38 ,5 ,7 ,1 ,0 ,48 ,10 
24403,Procurement,region_13,Bachelors,Male,sourcing,1 ,34 ,3 ,4 ,0 ,0 ,69 ,14 
51150,Procurement,region_15,Bachelors,Female,other,1 ,48 ,5 ,21 ,0 ,0 ,69 ,14 
7722,R&D,region_26,Masters,Male,other,1 ,29 ,5 ,4 ,0 ,0 ,82 ,16 
71271,Technology,region_13,Masters,Female,other,1 ,37 ,4 ,7 ,1 ,0 ,81 ,17 
56772,Sales & Marketing,region_22,NIL,Male,other,2 ,23 ,,1 ,1 ,0 ,53 ,11 
65909,Operations,region_2,Bachelors,Female,other,1 ,47 ,5 ,2 ,1 ,0 ,63 ,13 
8228,Sales & Marketing,region_14,Bachelors,Male,sourcing,1 ,31 ,1 ,3 ,0 ,0 ,50 ,10 
52138,Analytics,region_16,Bachelors,Male,other,1 ,28 ,3 ,4 ,0 ,0 ,83 ,17 
22999,Finance,region_28,Masters,Female,other,2 ,32 ,4 ,6 ,1 ,0 ,57 ,12 
29196,Procurement,region_27,Bachelors,Female,other,1 ,33 ,2 ,4 ,1 ,0 ,71 ,15 
10663,Legal,region_6,Bachelors,Male,sourcing,2 ,28 ,,1 ,1 ,0 ,58 ,12 
65651,Legal,region_2,Bachelors,Male,other,1 ,32 ,,1 ,1 ,0 ,62 ,13 
17973,Operations,region_6,Bachelors,Male,sourcing,1 ,34 ,3 ,10 ,0 ,0 ,67 ,13 
10986,Sales & Marketing,region_7,Bachelors,Male,sourcing,1 ,38 ,5 ,3 ,1 ,0 ,52 ,11 
19355,Technology,region_33,Bachelors,Male,other,1 ,28 ,4 ,5 ,0 ,0 ,79 ,16 
75402,Analytics,region_24,Masters,Male,other,1 ,34 ,3 ,3 ,0 ,0 ,87 ,17 
52587,Procurement,region_2,Bachelors,Male,other,1 ,44 ,2 ,16 ,0 ,0 ,70 ,14 
41662,Procurement,region_20,Bachelors,Male,sourcing,1 ,28 ,3 ,4 ,0 ,0 ,69 ,14 
73944,Operations,region_27,Bachelors,Female,other,1 ,31 ,1 ,5 ,1 ,0 ,61 ,13 
3987,Analytics,region_29,Bachelors,Male,other,1 ,34 ,2 ,5 ,0 ,0 ,84 ,17 
40057,Procurement,region_2,Below Secondary,Male,other,1 ,22 ,3 ,2 ,1 ,0 ,71 ,15 
76195,Procurement,region_2,Bachelors,Male,other,1 ,20 ,,1 ,0 ,0 ,76 ,15 
12411,Procurement,region_11,Bachelors,Female,other,1 ,32 ,3 ,7 ,1 ,0 ,66 ,14 
15161,Technology,region_2,Masters,Female,other,1 ,43 ,3 ,6 ,1 ,0 ,80 ,17 
59084,Analytics,region_2,Masters,Female,other,1 ,42 ,5 ,13 ,1 ,0 ,85 ,18 
53857,HR,region_7,Bachelors,Male,other,1 ,41 ,3 ,8 ,1 ,0 ,54 ,11 
42772,Technology,region_11,Bachelors,Female,other,1 ,27 ,3 ,2 ,0 ,0 ,84 ,17 
5294,Finance,region_2,Bachelors,Male,sourcing,1 ,41 ,4 ,9 ,0 ,0 ,56 ,11 
56439,Technology,region_23,Bachelors,Male,other,1 ,26 ,5 ,2 ,1 ,0 ,76 ,16 
29998,Analytics,region_34,Bachelors,Male,other,1 ,35 ,5 ,10 ,1 ,0 ,85 ,18 
76599,Sales & Marketing,region_28,Bachelors,Female,sourcing,1 ,28 ,1 ,3 ,0 ,0 ,58 ,12 
27424,HR,region_2,Bachelors,Female,sourcing,1 ,50 ,1 ,9 ,0 ,0 ,46 ,9 
45605,Sales & Marketing,region_22,Masters,Male,other,1 ,29 ,,1 ,1 ,1 ,46 ,10 
75833,Sales & Marketing,region_7,Masters,Male,other,2 ,37 ,1 ,10 ,0 ,0 ,49 ,10 
57068,Operations,region_4,Bachelors,Male,other,2 ,35 ,3 ,8 ,1 ,0 ,64 ,13 
70129,Sales & Marketing,region_28,Masters,Female,other,1 ,29 ,4 ,4 ,0 ,0 ,51 ,10 
14733,Sales & Marketing,region_6,Bachelors,Female,sourcing,1 ,36 ,5 ,8 ,0 ,0 ,47 ,9 
71886,Technology,region_5,Below Secondary,Male,other,1 ,22 ,,1 ,1 ,0 ,79 ,16 
7561,Finance,region_2,Bachelors,Male,other,1 ,36 ,3 ,3 ,0 ,0 ,55 ,11 
59522,Operations,region_22,Bachelors,Female,other,2 ,37 ,4 ,2 ,0 ,0 ,71 ,14 
